Date,Closing_Price
2025-07-23,32.94
2025-07-24,31.72
2025-07-25,31.6
2025-07-28,31.4
2025-07-29,30.43
2025-07-30,30.38
2025-07-31,29.96
2025-08-01,29.69
2025-08-04,30.61
2025-08-05,30.7
2025-08-06,24.32
2025-08-07,25.16
2025-08-08,23.79
2025-08-11,24.4
2025-08-12,25.6
2025-08-13,26.36
2025-08-14,26.71
2025-08-15,25.54
2025-08-18,25.66
2025-08-19,25.98
2025-08-20,26.13
2025-08-21,25.59
2025-08-22,26.05
2025-08-25,25.48
2025-08-26,24.0
2025-08-27,23.73
2025-08-28,23.17
2025-08-29,22.69
2025-09-02,23.17
2025-09-03,23.66
2025-09-04,25.58
2025-09-05,24.97
2025-09-08,23.84
2025-09-09,23.01
2025-09-10,21.66
2025-09-11,21.76
2025-09-12,23.45
2025-09-15,24.11
2025-09-16,24.07
2025-09-17,23.19
2025-09-18,22.81
2025-09-19,22.32
2025-09-22,21.4
2025-09-23,22.4
2025-09-24,22.11
2025-09-25,21.06
2025-09-26,21.9
2025-09-29,22.4
2025-09-30,22.72
2025-10-01,22.69
2025-10-02,23.39
2025-10-03,23.89
2025-10-06,22.43
2025-10-07,21.3
2025-10-08,21.71
2025-10-09,21.13
2025-10-10,20.06
2025-10-13,20.6
2025-10-14,21.37
2025-10-15,20.6
2025-10-16,21.26
2025-10-17,20.88
2025-10-20,21.77
2025-10-21,25.63
2025-10-22,24.57
2025-10-23,24.92
2025-10-24,25.71
2025-10-27,26.74
2025-10-28,25.97
2025-10-29,23.74
2025-10-30,22.58
2025-10-31,22.98
